,10 HK,101 HK,1038 HK,11 HK,12 HK,14 HK,142 HK,16 HK,17 HK,179 HK,19 HK,2 HK,20 HK,23 HK,267 HK,291 HK,293 HK,3 HK,315 HK,363 HK,4 HK,494 HK,5 HK,511 HK,6 HK,8 HK,83 HK,941 HK,97 HK,992 HK,66 HK,762 HK,883 HK,282 HK,2388 HK,330 HK,1199 HK,551 HK,144 HK,2038 HK,388 HK,939 HK,386 HK,3988 HK,1398 HK,2628 HK,2318 HK,3328 HK,1088 HK,688 HK,857 HK,2600 HK,700 HK,836 HK,1109 HK,1880 HK,1898 HK,1044 HK,1299 HK,151 HK,322 HK,1928 HK,135 HK,27 HK,2319 HK,823 HK,1 HK,1113 HK
10 HK,0.0018994262622828273,0.0016855341948126643,0.0002324962213790242,0.0006209076326829253,0.001293712301794331,0.0010923144899854691,0.0008696296926349495,0.0012416957597989726,0.001571865881967885,0.000721188512487048,0.0010008394082249058,0.00018616743257909992,0.0013131978068362344,0.000858885919290515,0.001176961152467767,0.0011133843117439896,0.0007581022727222588,0.0005071560409136274,0.0003767670226850038,0.0009477691386350008,0.0012176798799771128,0.0008318628521728968,0.000672565103627013,0.0005786181830601031,0.00010794544593659803,0.00036305624736280694,0.0014569535416102234,0.0007265629072221443,0.000762209945658049,0.0007417022336414418,0.0006333167854402961,0.000830319278326224,0.001069363857371998,0.0007066518172458875,0.0008070389107909001,0.0006273459346691509,0.0012840819449715063,0.00042576939859812136,0.0011812643496927873,0.0010116321385577817,0.001254032436956139,0.001120226380560154,0.0009163339081848117,0.0010187041344497819,0.0011691036233906172,0.0010621074538461344,0.0012641056351422025,0.0012656329419876312,0.0015016002943189762,0.0013082918115950516,0.0009120047053775928,0.0014134051521523811,0.0009820165545243492,0.0009637295702443099,0.0012750545336821966,0.001296206807233254,0.001968452525301197,0.00046458974906155476,0.0004188384057291449,0.0004920946707304884,0.0005930668133861547,0.0006681905448467856,0.0007906504148364828,0.0009720254572297291,0.0008351891896334106,0.00042349041284388744,0.001117668326393691,0.0009906339687069123
101 HK,0.0016855341948126643,0.0022041845939397365,0.0002722042648962077,0.000693551117354723,0.0014839143423226384,0.0011003406847682378,0.0009215038377865393,0.0014452873723837967,0.0017194442666635108,0.0008953560365089369,0.0010770326481007082,0.0002045375677862938,0.0013456472907986143,0.0009426273549679519,0.001233479895360005,0.0013014882399532144,0.0008943332129297311,0.0005686070118694798,0.0003945919676674753,0.001025446842738413,0.0013416328363047548,0.0010303133951116564,0.0007262504046043359,0.0005890486799346547,0.00015202097110526784,0.00044322065512591774,0.0017272890030390923,0.0008615943728102683,0.0008352278286185055,0.0008828106283035482,0.0007331964734774776,0.0009231307408668255,0.0012130985239646745,0.0007290528625879129,0.0009163037745318479,0.0007806224202944248,0.001425870953494052,0.00048224909756589045,0.0013366572761749484,0.0011345376713198935,0.0014376059945144404,0.0013036618650438814,0.0011236135951478367,0.0012096887362356128,0.0013832799084522354,0.001232133444054934,0.0014732426002934966,0.0014214052718159707,0.001757009008882965,0.001528560661671295,0.001017352893085686,0.0016543483112439548,0.0011327036526069987,0.0011123548261711008,0.0015876011284466775,0.0015375342192019451,0.002257201079515456,0.0005109528290420608,0.0005349884968842417,0.0005314532850139339,0.0006481877842733537,0.0008489385175045694,0.0009122966866343525,0.0010012444129373886,0.0010212884647860729,0.000515066178997088,0.0013161923907633365,0.0012779614436008425
1038 HK,0.0002324962213790242,0.0002722042648962077,0.0007710009663323502,0.00018685409904144532,0.0002542264650190964,0.00021247276878212862,0.0002809007474568688,0.00030086994423410187,0.0003158237719158174,0.00024615130547133183,0.0002719022957955599,0.0001929361674723733,0.00031048696403556916,0.00016121605060615327,0.00041285561515208807,0.0003137596106081621,0.00022583215778149406,0.00026005597359373,0.0001641557303415714,0.0001988677599791895,0.00031204504377042977,0.000307948678128098,0.00016660469009579785,0.00023299963857804985,0.0002817982048816693,0.00026744141838248533,0.00025656439456125523,0.0003543903388367897,0.00019640953485649092,0.0003305471569699742,0.0002837219728137781,0.0004285589877213212,0.00027007237066861277,0.0001465563497216649,0.00018912098818670218,0.00030767877937601244,0.00033822520077629625,0.00017994837925496652,0.0003461154459847894,0.00011381114872950069,0.0002627452872054552,0.00027792566069843747,0.00035949903445931067,0.00021946965717482424,0.00023652447868113797,0.0002790486697656173,0.00023100863320509268,0.00019783072952389723,0.00026552165664720114,0.00032681296036964145,0.00024154903792747282,0.00048713535160890104,0.0002799948078983649,0.0004002906102554627,0.00032744325427679847,0.0002969231558143479,0.00022078372210888062,0.00014031653498690607,0.00016500384992420338,8.715211299661515e-05,6.724163144295672e-05,0.00015219633316451928,0.000252821715626408,0.0003190722389554514,0.00018975895054675483,0.00012685404047692327,0.0003257329736424589,0.0002899518186092051
11 HK,0.0006209076326829253,0.000693551117354723,0.00018685409904144532,0.00090517349957252,0.0007924971847038607,0.0006769691707166726,0.0004862642609374982,0.0007621296554197874,0.0009224424166000628,0.0005521620073685418,0.0006199913319105804,0.00020447165580411876,0.0007846177848967248,0.0007293263183944269,0.0007941614851808406,0.0007435604673804602,0.000540029939983764,0.0003677916214268084,0.0001544216746427127,0.0006057531497094616,0.0007792177990748647,0.0004266820316630409,0.0006221418576122692,0.00045042277050715614,0.00014929007804480825,0.00018150658323024752,0.0008566280993399941,0.0004903281692575297,0.0004781746835722487,0.000617008636716134,0.0004637241768707046,0.00041974159657848014,0.0006681028239767536,0.00042553293537123376,0.0006757093828721283,0.0004966195297651351,0.0007840649146484711,0.00023233748002450275,0.0007404958553639677,0.0005616437137433045,0.0008049751469353356,0.0007866711559773515,0.0005377174182799486,0.0006815209344994686,0.0008159536960920505,0.000622324091864135,0.0008057224275634562,0.0008428441055882369,0.0009284512450873332,0.0006569529493905223,0.0005789609308328137,0.0008400492810815589,0.0006133863395098365,0.0005640686337271207,0.0006432310660817053,0.0007670650001711558,0.0012276081317948487,0.00024131403310041085,0.00035531080429188847,0.00023152444462999316,0.0002755645005507464,0.0004901901412925195,0.0005469374196435008,0.000593401535250176,0.0004669146699657581,0.00033922930219685513,0.0007324855781548071,0.001052015458944636
12 HK,0.001293712301794331,0.0014839143423226384,0.0002542264650190964,0.0007924971847038607,0.0022311746930048196,0.0013172804273489606,0.0008417701049114253,0.0017490768236110984,0.002029304698191654,0.0010293922678137727,0.0011785288523958862,0.00017878530610047493,0.0015100201030826385,0.0009832051129195628,0.0013246672579076315,0.0012881203832412062,0.0009023285708192819,0.0005274593823290815,0.00043087227488894755,0.0011603252182309487,0.0015522839838929784,0.0009931546181389831,0.0008034701782943698,0.0008551544592683313,0.0001604435522551792,0.0005828359673153741,0.002077737950739973,0.0009276862166018584,0.0009009691038672471,0.0010258146071195713,0.0008240202689327944,0.0010251582765978073,0.0010497250662614452,0.0006405097426047179,0.0009585684321037675,0.0007876806352748113,0.001514733276287044,0.0005618818091737782,0.0013445881037696544,0.0011328558978100619,0.0014673697258808674,0.0011466528955995795,0.0010709430380957056,0.000983599910186497,0.0011567843409511361,0.0010986706805862381,0.001289843468295638,0.0012910339926022335,0.0014786451427772217,0.0014009455116392384,0.000985952008363374,0.0015471499252805885,0.0010042944032556175,0.0008659205061978658,0.0015600961173670388,0.0012899320680121791,0.002021699679381212,0.0005729870751676503,0.0005384595508276747,0.0005433609822656328,0.0005712985487257859,0.0009233168166545377,0.0009563764192996113,0.001210556401815217,0.000800507367282463,0.0004989974555744984,0.0015183293669655859,0.0014163699217748299
14 HK,0.0010923144899854691,0.0011003406847682378,0.00021247276878212862,0.0006769691707166726,0.0013172804273489606,0.0019213671286993973,0.000822244865145849,0.0012484600666403788,0.0015431998706448829,0.0007727816334384548,0.000970226197116083,0.0001734535962296754,0.0012100570166493274,0.000816605805624937,0.0011106947991302448,0.0009958566070692025,0.0007329932767290576,0.00040983550011268715,0.0003215036404283739,0.0009442214101390082,0.001271502551734776,0.0007103843348656487,0.0006265970069403083,0.0007012785252241347,0.0001366042600123893,0.00048309500895883124,0.0015308672888220828,0.000647065776866247,0.0006835044419039454,0.0007220379634418961,0.0006395951952818945,0.0007119549805798689,0.000897904089850583,0.0005558582034361202,0.0008056139068559262,0.0006880235154742585,0.0011852154256664024,0.0004176759214788129,0.001072886541073064,0.000856236310425965,0.0011207188567423404,0.0008748271040388621,0.0007411388449267792,0.0007943092577194178,0.0009435669265174224,0.0008479319404042591,0.0009895457983917092,0.0010526770888205253,0.0011851815128585254,0.0011383944159316518,0.0007517539190118712,0.0012179692090348692,0.00074395609627308,0.0006726383744195697,0.0012209687934370311,0.0009605673060196896,0.0016647454994110906,0.0004182684024772618,0.000370275533048009,0.0005247648412782564,0.00046407998248380525,0.0007066457404877578,0.0008568282266845099,0.0009553418930779864,0.0005680613553260406,0.000516800063089609,0.0011082125189677864,0.0009262017899818775
142 HK,0.0008696296926349495,0.0009215038377865393,0.0002809007474568688,0.0004862642609374982,0.0008417701049114253,0.000822244865145849,0.002817356759915224,0.0008663906413251405,0.0010013333993241,0.000803466669681679,0.0007471483083428141,0.00021340915874804999,0.0009744230233891102,0.0006305742796729939,0.0010235211459506618,0.0009688980373172957,0.000630748535112881,0.0004404521007377659,0.00043993079630520764,0.0008047746767457896,0.0008673469443842936,0.0007403643277892935,0.0005842332543466196,0.0007681044145019853,0.00014004448674888564,0.00036966505775716475,0.0009487547146244192,0.000762631581943649,0.0006544753486648859,0.0005782083091838047,0.00046808942826612404,0.0007616822969826459,0.0007915311948458639,0.0006344895402865009,0.0006162623398721544,0.0006115356643310717,0.0010960998468013841,0.00045478732484225846,0.0009335080481816775,0.0006022638955368436,0.0009808311261181883,0.000843876496589523,0.000935161380038866,0.0007605435026277428,0.0009258353958880235,0.0008355505292435341,0.0009636132645090809,0.0008768582848475491,0.0012568652091331824,0.0009948806588657236,0.0007529377960820371,0.0013238276485279738,0.0007595215003793739,0.0009203378691666834,0.001091547567638913,0.0012552992781190366,0.0013537110917605795,0.0006296570488906514,0.00043311790546790026,0.0002985739897009327,0.0005114845444318187,0.000596565784967771,0.0006787899017797502,0.0010562530081225656,0.0007877137077928466,0.0004185456008131077,0.0008199719615405563,0.0005994074172717372
16 HK,0.0012416957597989726,0.0014452873723837967,0.00030086994423410187,0.0007621296554197874,0.0017490768236110984,0.0012484600666403788,0.0008663906413251405,0.0019393339937113397,0.0019227836191239931,0.0009344110847830937,0.0011429371266932365,0.00017059245644452728,0.0013740188937299408,0.0009560365991301066,0.0012872257692985516,0.0012864989561516885,0.0009032606571430658,0.0004927315507547654,0.00042174120250743974,0.0011279961427449105,0.0015046973540787194,0.0010457977365427367,0.0007845055910685691,0.0008098745903007898,0.00013426908736533514,0.0005373811071062714,0.0019757860553039318,0.0009199273404085678,0.0007801593600684499,0.0009703547174658947,0.0007776270416663812,0.001001786546735572,0.0010566517036843174,0.0006472098590054922,0.0008818009248284652,0.0008674530354949583,0.0014871100293404576,0.0005332436681366023,0.0012797712665215005,0.0010517812247522193,0.0014384419189995953,0.0010741017164551544,0.001066347735824977,0.0009502953775966369,0.0011470954189379255,0.0010310428211722452,0.001180953478039887,0.0012424388519221043,0.0014175610861981967,0.0013458262464844503,0.0009245113851923802,0.0015071393151709284,0.0010496523153143537,0.0009684067796418634,0.0014097434597457321,0.001305033089958013,0.0019258659217107044,0.0004909273291968328,0.000476480044196448,0.0005070661638946082,0.0005417750781219256,0.0008169344538755427,0.0009299617517786234,0.001088699159593394,0.0008213035430241334,0.00043171951377460484,0.0014880705093642205,0.0012916367671070173
17 HK,0.001571865881967885,0.0017194442666635108,0.0003158237719158174,0.0009224424166000628,0.002029304698191654,0.0015431998706448829,0.0010013333993241,0.0019227836191239931,0.0035550765603092845,0.0012700350584311578,0.0013623248356659148,0.000207951830971247,0.001739773492704249,0.001306972085393435,0.001816806323004634,0.0016227911470038912,0.001143071667676822,0.0006332057621804683,0.0005082965611837736,0.0014445594540433919,0.0019067695694632725,0.0013011212805204083,0.0010118063933095011,0.0009519777122249959,0.00010364413739266109,0.0006848750183017863,0.002484792078651968,0.001073549198398424,0.0010288695860362048,0.0012296346406916849,0.0009970897903932362,0.0012090448354321775,0.0013260402742726852,0.001090237137296845,0.001195330039130245,0.0011676780440261025,0.0019131212171581184,0.0006959010277964345,0.0016431002035294897,0.0015104603234625418,0.001839979398319625,0.0014442102993599904,0.00137665276276792,0.001191409025537065,0.0014769347334967974,0.0014005823242547618,0.0015348612193407342,0.0016774049363153234,0.0017005622523020665,0.0018446831503214011,0.0013744139751154737,0.001987102713019693,0.0012284233962733778,0.0011968656023655056,0.0018439500015962269,0.0015290624857880897,0.002434062143723668,0.0007073916925982586,0.0006642410189633867,0.0005306330006856629,0.0006419233583541756,0.0010548192156002792,0.0013487920062006653,0.0015927858560209572,0.0010057695008259047,0.0005004471742192467,0.0017258470195681708,0.0012160049246490881
179 HK,0.000721188512487048,0.0008953560365089369,0.00024615130547133183,0.0005521620073685418,0.0010293922678137727,0.0007727816334384548,0.000803466669681679,0.0009344110847830937,0.0012700350584311578,0.003115313609408102,0.0009435419578209288,0.00010169985041091682,0.000994341640086237,0.0008193739239760825,0.0013153399361696162,0.001073461520457303,0.0009032825326718885,0.0004044040832300951,0.0004802541164945564,0.0008221472134967798,0.0009748535696903668,0.0010744022922507114,0.000847375541063203,0.0006276748652675794,-1.815363114678667e-05,0.00044914524883147113,0.001162275159419008,0.0008838430584665465,0.0005577801744500402,0.0010325035863536839,0.0006065863481923825,0.0008573961790057876,0.001048237997906609,0.0007098434393665918,0.0007417438773926764,0.0007743688260021498,0.0014793206731812413,0.0005624634962848739,0.00126145768969847,0.001270815279000447,0.001200134053232515,0.000801141057532441,0.0008361953894577372,0.0007901342485473609,0.0008565088253791279,0.0007590707890077627,0.0009226096921068189,0.0009296347909146901,0.0011010219536846941,0.0007511023798143297,0.0008396582367441191,0.0013059592609607506,0.0007726872550877453,0.0005146897405920229,0.0007543165290787408,0.0012802266695120525,0.0014457296929927049,0.0004254656662190908,0.0002317578419657986,0.00037915322352552076,0.00033161497328437214,0.0007489553878411874,0.0007305026021755013,0.000996485407383916,0.0007232463713613025,0.00039809464483520903,0.0009258228007680976,0.0006240604434445062
